x1,x2,y
0.109,-0.012,0
0.871,-1.884,0
0.837,-0.506,0
0.245,1.428,0
-0.355,-0.796,0
0.216,-0.386,0
0.462,-1.924,0
0.324,-0.025,0
0.069,0.519,0
0.673,-2.304,0
-2.722,0.721,0
-0.073,-0.01,0
1.182,1.019,0
-0.136,-0.263,0
-1.744,-2.409,0
-0.809,0.022,0
-0.256,-2.311,0
-0.002,-0.053,0
-0.742,0.413,0
-1.09,-1.022,0
-0.537,-0.668,0
-0.263,-2.497,0
2.492,0.091,0
0.071,0.068,0
1.05,-0.056,0
0.235,-1.437,0
1.048,-0.517,0
-0.005,0.061,0
0.394,0.298,0
-1.495,1.015,0
0.253,2.926,0
-0.264,0.734,0
2.65,0.607,0
0.344,-0.244,0
0.02,2.338,0
2.07,1.307,0
-0.325,1.695,0
0.901,1.92,0
-2.523,-0.291,0
1.656,-2.437,0
-0.002,-0.498,0
2.413,-1.769,0
0.153,0.639,0
-1.652,-1.28,0
1.713,-0.036,0
-0.281,0.58,0
1.277,-1.098,0
-0.207,0.685,0
0.116,1.652,0
0.21,0.757,0
1.011,-1.601,0
2.31,-0.013,0
-0.561,0.055,0
0.129,1.908,0
-1.673,-1.407,0
-0.013,0.72,0
-0.052,0.816,0
0.479,2.162,0
-1.111,-1.653,0
0.452,0.926,0
-0.22,-0.974,0
-0.818,-0.549,0
0.604,-1.114,0
0.494,1.261,0
-2.202,1.714,0
0.262,-1.314,0
2.252,0.828,0
1.941,0.306,0
-1.98,-0.168,0
0.181,-0.189,0
1.422,2.283,0
-0.051,2.642,0
-1.258,-1.197,0
1.015,0.271,0
-0.114,2.894,0
-0.696,0.803,0
-0.736,0.299,0
-0.321,0.982,0
-2.645,-1.03,0
-1.765,0.759,0
1.028,0.667,0
-1.953,-1.162,0
0.125,-0.255,0
0.06,2.664,0
-0.224,0.03,0
1.289,-2.525,0
-0.817,-0.674,0
-0.657,-1.343,0
0.078,0.382,0
-0.01,-0.248,0
2.291,-1.853,0
-0.709,-0.24,0
-0.51,0.203,0
0.035,-0.034,0
0.02,0.088,0
1.146,-1.275,0
0.148,-0.282,0
-0.015,0.155,0
-1.532,-0.759,0
-2.251,0.568,0
