x1,x2,y
-3.79,5.4,-1
6.16,5.89,-1
4.37,3.86,-1
7.5,6.06,-1
7.43,6.74,-1
2.32,4.81,-1
3.11,6.97,-1
5.35,6.47,-1
6.91,6.86,-1
9.7,7.86,-1
9.77,7.43,-1
9.66,7.84,-1
-2.58,4.81,-1
0.7,4.3,-1
10.09,7.69,-1
4.09,7.98,-1
-3.32,5.88,-1
1.02,7.34,-1
2.9,3.52,-1
7.31,3.81,-1
6.82,7.41,-1
5.11,3.76,-1
1.39,2.4,-1
8.91,5.42,-1
8.92,2.27,-1
-3.93,7.09,-1
10.08,7.79,-1
2.95,7.2,-1
7.93,5.39,-1
10.46,3.1,-1
10.78,6.35,-1
-3.79,3.92,-1
2.62,7.02,-1
0.04,5.79,-1
3.64,4.52,-1
4.55,5.07,-1
-1.26,4.67,-1
10.75,4.9,-1
6.06,5.8,-1
11.6,5.67,-1
1.62,2.35,-1
3.94,3.25,-1
2.73,3.11,-1
4.57,3.12,-1
2.81,6.07,-1
10.37,4.65,-1
-2.03,5.01,-1
6.6,6.2,-1
8.68,2.68,-1
-3.62,5.46,-1
-2.06,5.5,-1
6.78,5.38,-1
7.98,6.95,-1
5.02,5.25,-1
7.05,4.1,-1
3.74,2.29,-1
-2.47,3.97,-1
3.09,3.5,-1
7.06,7.25,-1
0.73,3.29,-1
2.61,5.66,-1
1.15,4.39,-1
-1.7,7.86,-1
3.49,5.35,-1
3.7,3.53,-1
7.74,7.36,-1
-0.24,3.48,-1
6.81,7.34,-1
-1.01,3.28,-1
9.74,6.4,-1
0.08,5.84,-1
-2.52,5.34,-1
5.28,2.81,-1
0.4,2.65,-1
-2.2,6.2,-1
8.36,4.12,-1
0.73,2.81,-1
6.47,4.9,-1
0.25,4.07,-1
11.38,2.77,-1
7.49,2.86,-1
6.33,2.09,-1
-1.13,6.24,-1
1.3,3.53,-1
-2.9,3.45,-1
4.66,4.35,-1
1.65,5.55,-1
8.46,3.64,-1
2.67,3.89,-1
9.05,3.98,-1
8.85,6.26,-1
6.14,7.63,-1
5.62,3.63,-1
-3.96,4.33,-1
5.06,7.34,-1
4.62,6.88,-1
1.17,5.93,-1
10.83,3.46,-1
8.91,6.91,-1
2.75,2.39,-1
-1.11,6.39,-1
-3.57,7.45,-1
9.03,2.07,-1
6.92,7.51,-1
-3.14,2.47,-1
8.86,6.68,-1
0.69,5.6,-1
1.35,2.88,-1
7.84,3.74,-1
3.47,4.14,-1
-0.21,5.5,-1
6.28,6.06,-1
10.35,3.73,-1
-2.71,2.39,-1
-1.56,2.31,-1
-0.32,7.48,-1
2.71,4.5,-1
5.67,4.62,-1
-3.62,7.46,-1
-0.81,6.29,-1
-0.44,5.27,-1
5.85,2.27,-1
8.18,5.95,-1
10.89,3.62,-1
10,7.79,-1
5.79,6.9,-1
11.17,6.45,-1
11.96,6.72,-1
0.67,6.95,-1
4.31,2.23,-1
-3.35,3.92,-1
1.52,3.87,-1
-1.55,4.2,-1
7.21,7.62,-1
11.67,6.02,-1
1.76,5.64,-1
10.19,4.91,-1
11.67,4.57,-1
-0.04,4.83,-1
6.04,2.8,-1
10.6,4.94,-1
8.13,4.63,-1
4.14,5.3,-1
6.29,6.35,-1
6.65,6.86,-1
6.94,7.87,-1
2.59,5.62,-1
9.24,6.9,-1
7.35,6.59,-1
-2.36,2.7,-1
10.33,7.37,-1
2.13,5.25,-1
11.2,7.1,-1
0,7.68,-1
4.42,3.89,-1
9.41,2.1,-1
0.52,7.38,-1
-0.22,7.32,-1
-1.69,6.49,-1
-1.15,7.89,-1
6.79,2.35,-1
-0.97,5.16,-1
2.24,7.8,-1
1.64,6.64,-1
11.03,7.95,-1
1.67,7.21,-1
3.76,3.25,-1
1.53,3.97,-1
5.51,6.92,-1
11.42,5.44,-1
-0.19,0.71,1
1.92,1.66,1
6.01,-6.95,1
0.15,-4.25,1
11.93,-0.48,1
9.38,-0.38,1
6.23,-5.59,1
6.74,-6.98,1
8.13,1.46,1
0.82,-7.5,1
9.85,-0.44,1
10.06,-6.44,1
-1.82,-4.53,1
11.45,-1.02,1
6.03,-3.18,1
4.12,-1.83,1
1.61,1.36,1
6.74,-5.39,1
10.48,1.11,1
7.42,-4.62,1
9.31,1.18,1
0.56,-6.98,1
2.57,-5.59,1
9.96,-7.29,1
5.83,-7.28,1
7.5,-2.7,1
0.95,-6.77,1
5.6,-7.5,1
-0.84,-1.47,1
5.77,-5.5,1
10.35,-1.96,1
3.37,0.32,1
6.3,1.53,1
4.95,1.92,1
11.05,0.11,1
-0.2,-3.18,1
11.64,0.34,1
4.77,-7.82,1
2.64,1.28,1
-3.68,1.85,1
6.11,-7.04,1
6.04,-0.54,1
6.87,-2.36,1
-3.65,-7.03,1
0.02,-0.7,1
5.48,-2.88,1
1.82,-3,1
1.91,1.53,1
0.81,-1.97,1
8.36,-7.57,1
0.96,-4.44,1
8.86,-4.18,1
-1,-1.04,1
7.17,-6.37,1
1.15,-2.66,1
9.34,-0.99,1
9.69,-5.29,1
10.16,-0.78,1
-0.4,-6.07,1
4.47,-4.95,1
-1.06,-3.54,1
8.9,-2.48,1
-1.92,-3.33,1
8.7,-3.66,1
1.54,-1.33,1
2.72,-1.45,1
10.73,-5.5,1
10.84,-4.45,1
6.61,0.3,1
0.62,-2.54,1
-0.36,-6.91,1
5.42,-3.41,1
8.96,-7.28,1
10.39,1.23,1
-1.25,-3.2,1
6.61,0.4,1
5.79,-2.54,1
1.63,-4.84,1
9.18,-7.88,1
-3.2,-3.66,1
0.3,0.44,1
2.77,-0.43,1
8.42,-7.97,1
-3.12,-5.97,1
-2.01,-6.91,1
-2.62,0.03,1
1.05,-2.97,1
5.39,-2.23,1
-0.94,-2.74,1
-2.02,0.89,1
7.46,-1.92,1
-2.72,-5.14,1
1.97,1.67,1
8.52,-1.92,1
8.82,1.97,1
2.91,-2.04,1
3.37,-4.08,1
-2.85,-1.2,1
10.98,-2.01,1
0.19,-0.57,1
7.74,1.02,1
-2.35,1.4,1
-3.92,-5.7,1
8.39,-7.29,1
-2.53,-6.41,1
10.09,-5.13,1
11.24,1.27,1
8.78,-7.42,1
8.28,0.18,1
7.44,-6.29,1
-3.02,-2.81,1
-0.13,-5.12,1
0,1.86,1
8.06,-1.7,1
1.88,-1.65,1
1.6,-1.31,1
-2.67,0,1
11.57,-1.39,1
7.96,-5.43,1
6.78,0.27,1
10.36,-5.61,1
10.67,0.28,1
-1.02,-3.72,1
-0.81,1.37,1
1.04,-4.28,1
5.35,-3.73,1
-0.52,-7.63,1
3.67,-1.88,1
-1.24,-2.23,1
3.67,1.58,1
9.15,0.91,1
9.71,-1.6,1
3.48,-4.33,1
9.66,-4.13,1
-0.97,-3.86,1
1.01,-1.23,1
7.66,-6.63,1
0.67,-2.29,1
-3.89,-2.64,1
2.98,-0.23,1
-0.64,1.36,1
11.29,-1.75,1
4.71,-6.09,1
10.54,-6.45,1
11.06,-2.01,1
4.58,-6.19,1
3.9,-2.37,1
5.06,-5.09,1
6.49,-6.03,1
10.91,-5.74,1
5.56,0.88,1
6.36,-0.68,1
1,-5.18,1
8.07,0.69,1
7.83,-2.25,1
0.25,-1.87,1
9.96,-7.33,1
4.08,-4.04,1
8.3,-2.33,1
1.33,-1.55,1
-2.21,-3.67,1
-2.41,-6.2,1
-1.04,-4.97,1
5.47,-5.66,1
2.37,-4.9,1
4.44,1.09,1
-0.77,-4,1
8.51,-7.52,1
11.19,-1.87,1
4.84,1.33,1
6.99,-3.21,1
9.76,-0.25,1
6.59,-0.13,1
4.38,-0.63,1
-0.91,0.47,1
-3.41,0.01,1
6.34,-0.89,1
10.27,-5.83,1
8.68,1.97,1
-3.19,-2.24,1
-0.27,-6.75,1
7.11,-5.85,1
9.73,1.62,1
7.84,-2.5,1
9.78,-1.01,1
8.11,-0.24,1
-2.25,-7.32,1
-2.75,-4.8,1
-1.43,-0.05,1
7.19,0.6,1
0.87,-0.57,1
8.11,-1.58,1
7.52,-2.13,1
1.94,0.47,1
5.54,-4.42,1
-3.96,-4.66,1
8.53,-5.7,1
3.36,-4.88,1
-0.65,-5.27,1
2.46,-5.31,1
-3.56,-6.24,1
-1.31,-0.16,1
-3.04,-7.64,1
3.17,-1.48,1
7.26,-7.18,1
2.45,-1.65,1
-0.5,-6.49,1
3.59,-5.36,1
5.96,-2.46,1
-2.02,-7.17,1
7.64,-3.6,1
8.61,-0.55,1
10.93,-3.19,1
0,-3.75,1
1.52,-6.5,1
5.48,-7.94,1
-3.52,-6.55,1
-1.27,-7.41,1
10.4,-4.79,1
11.58,-0.37,1
11.04,-7.45,1
0.88,1.71,1
11.14,-6.6,1
-2.17,-1.76,1
10.86,-5.21,1
9.37,0.85,1
10.78,-2.19,1
2.64,-4.33,1
8.47,-0.31,1
0.31,-5.28,1
7.53,1.69,1
7.37,-1.81,1
3.79,-5.54,1
7.37,-7.63,1
6.84,-6.45,1
9.96,-0.8,1
1.34,-2.08,1
-2.85,-1.61,1
11.29,-6.32,1
5.1,-6.24,1
-0.15,-7.22,1
5.37,-7.81,1
-0.48,1,1
4.56,-4.99,1
-1.16,-6.73,1
9.21,-6.2,1
-2.63,-0.56,1
1.54,1.65,1
3.13,-6.22,1
9.37,1.51,1
9.04,-4.7,1
4.63,-0.57,1
7.65,-6.76,1
1.54,-0.25,1
-2.86,0.84,1
7.77,-1.23,1
6.37,1.69,1
-0.57,-2.39,1
11.93,-2.64,1
2.89,-6.65,1
-0.51,-5.36,1
4.57,-1.3,1
11.19,-0.25,1
8.38,-1.49,1
-1.05,-6.47,1
7.56,-3.29,1
0.42,-1.08,1
7.95,-3.4,1
-2.35,-3.21,1
2.58,-6.76,1
1.96,-5.42,1
0.99,-0.59,1
4.42,0.67,1
0.56,-0.59,1
0.76,-4.12,1
8.91,-7.84,1
-1.9,0.49,1
4.57,-5.35,1
-3.2,-4.74,1
8.32,-0.55,1
11.67,-7.44,1
-1.04,-7.79,1
2.92,-2.59,1
-3.18,0.74,1
-2.5,-3.01,1
2.69,-3.83,1
-3.3,-1.13,1
-0.04,-5.83,1
4.83,-3.53,1
-1.3,-7.73,1
10.5,-0.52,1
9.02,1.64,1
2.63,0.29,1
-1.27,-5.07,1
4.75,-1.47,1
1.63,-0.72,1
8.85,-0.76,1
11.35,-5.52,1
1.04,0.35,1
5.8,-7.51,1
5.19,0.8,1
3.8,-3.52,1
1.94,0.24,1
6.3,-4.88,1
10.73,-5.1,1
1.06,-3.67,1
1.08,-1.72,1
0.51,-5.9,1
-2.73,-4.32,1
-0.8,-6.73,1
9.08,-7.91,1
-2.89,-3.72,1
3.73,-3.71,1
4.74,-7.25,1
-1.72,-7.13,1
8.15,-5.18,1
10,-7.22,1
11.37,0.56,1
2.12,-6.29,1
0.49,-5.9,1
-1.68,-5.97,1
-2.77,-4.93,1
11.68,-4.06,1
1.01,-7.66,1
8.51,1.1,1
3.43,0.61,1
3.08,0.55,1
9.33,-4.79,1
9.57,-5.13,1
-1.31,-3.75,1
