x1,x2,y
8.414,5.997,0
4.907,5.433,0
6.798,4.958,0
3.664,6.813,0
3.834,9.756,0
7.703,6.482,0
6.71,6.335,0
6.941,3.445,0
7.727,8.434,0
7.225,5.772,0
3.803,5.384,0
3.836,7.225,0
3.211,9.606,0
8.236,7.958,0
11.366,5.241,0
3.838,3.558,0
8.985,8.999,0
4.606,5.841,0
7.049,5.57,0
11.209,6.054,0
7.875,7.788,0
8.689,6.261,0
5.705,9.381,0
7.072,9.893,0
3.232,3.592,0
4.446,4.264,0
3.446,6.041,0
6.089,7.671,0
9.955,8.646,0
10.386,3.416,0
8.026,4.277,0
9.36,4.264,0
5.451,3.738,0
8.313,5.563,0
7.375,8.809,0
8.578,9.638,0
8.228,7.658,0
8.478,7.933,0
7.629,9.878,0
9.85,8.095,0
4.749,3.546,0
3.502,3.527,0
3.832,7.477,0
3.307,9.608,0
9.787,9.637,0
5.839,3.029,0
11.106,7.714,0
11.69,5.842,0
7.483,9.299,0
6.111,8.214,0
3.419,9.665,0
3.255,5.812,0
6.99,8.937,0
7.767,4.654,0
5.734,6.476,0
10.018,7.947,0
11.079,8.347,0
11.024,4.365,0
11.277,8.444,0
6.443,9.202,0
4.327,9.164,0
11.331,5.317,0
11.696,5.735,0
5.682,5.872,0
4.645,9.422,0
9.594,8.738,0
10.431,3.668,0
9.951,3.899,0
5.148,7.588,0
4.571,9.125,0
5.948,6.032,0
11.589,7.921,0
10.991,4.269,0
5.686,4.739,0
10.117,7.427,0
3.523,9.356,0
7.824,-9.623,1
9.39,-6.297,1
11.122,-2.033,1
7.083,-3.193,1
5.153,-7.032,1
6.202,-1.76,1
5.713,-1.018,1
4.968,-6.485,1
9.983,-0.403,1
7.457,-0.595,1
6.077,-8.959,1
9.529,2.543,1
10.377,0.891,1
6.014,-9.174,1
5.406,-4.694,1
5.289,-7.957,1
9.605,2.768,1
11.586,0.715,1
7.762,-5.153,1
8.096,1.952,1
5.153,-0.723,1
6.72,2.124,1
3.31,1.083,1
10.272,-0.911,1
5.599,-9.677,1
4.73,-7.723,1
7.231,-4.232,1
6.286,-9.248,1
9.048,-8.839,1
11.455,2.426,1
5.218,-0.941,1
9.147,-0.368,1
9.261,0.956,1
9.822,0.176,1
5.064,-7.069,1
5.623,-5.928,1
5.099,-6.779,1
4.602,2.895,1
11.775,-9.618,1
11.698,-4.519,1
11.85,1.86,1
9.803,1.786,1
7.373,-2.54,1
5.571,-6.857,1
10.148,-2.853,1
8.682,0.082,1
10.979,-9.197,1
4.319,-2.932,1
7.195,-4.972,1
11.975,-2.599,1
10.749,1.303,1
11.414,-0.183,1
7.396,-3.035,1
10.209,1.507,1
7.433,-6.066,1
9.707,-0.796,1
3.25,-4.066,1
5.186,2.778,1
8.608,-5.391,1
10.781,2.28,1
4.629,-8.527,1
6.809,-6.156,1
3.555,-2.215,1
11.484,2.299,1
10.5,-7.216,1
8.811,-6.338,1
7.168,-1.71,1
4.111,-0.205,1
9.006,-0.138,1
10.028,-2.708,1
8.161,-5.659,1
4.791,-6.759,1
